,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
156,65,86,213,0.3051643192488263,0.40375586854460094,4
123,109,136,213,0.5117370892018779,0.6384976525821596,304
485,30,52,212,0.14150943396226415,0.24528301886792453,119
492,25,37,210,0.11904761904761904,0.1761904761904762,563
145,77,101,207,0.3719806763285024,0.48792270531400966,263
531,32,47,207,0.15458937198067632,0.22705314009661837,73
595,61,96,205,0.2975609756097561,0.4682926829268293,586
361,65,93,204,0.31862745098039214,0.45588235294117646,220
444,48,67,201,0.23880597014925373,0.3333333333333333,246
222,61,91,199,0.3065326633165829,0.457286432160804,234
227,100,134,199,0.5025125628140703,0.6733668341708543,452
21,74,104,198,0.37373737373737376,0.5252525252525253,385
379,67,90,197,0.3401015228426396,0.45685279187817257,522
439,52,77,193,0.2694300518134715,0.39896373056994816,280
516,27,46,191,0.14136125654450263,0.24083769633507854,139
330,96,123,188,0.5106382978723404,0.6542553191489362,570
336,69,100,187,0.3689839572192513,0.5347593582887701,166
478,50,73,186,0.26881720430107525,0.3924731182795699,317
281,56,80,185,0.3027027027027027,0.43243243243243246,552
197,57,89,184,0.30978260869565216,0.483695652173913,195
175,72,95,184,0.391304347826087,0.5163043478260869,607
422,63,82,183,0.3442622950819672,0.44808743169398907,520
218,58,78,182,0.31868131868131866,0.42857142857142855,367
239,40,56,178,0.2247191011235955,0.3146067415730337,479
152,88,113,177,0.4971751412429379,0.6384180790960452,266
593,52,69,176,0.29545454545454547,0.39204545454545453,153
347,28,52,174,0.16091954022988506,0.2988505747126437,74
574,44,78,173,0.2543352601156069,0.4508670520231214,279
501,38,56,171,0.2222222222222222,0.32748538011695905,256
304,64,84,170,0.3764705882352941,0.49411764705882355,167
609,38,59,165,0.23030303030303031,0.3575757575757576,331
578,78,94,165,0.4727272727272727,0.5696969696969697,141
244,48,64,165,0.2909090909090909,0.3878787878787879,95
453,23,42,164,0.1402439024390244,0.25609756097560976,80
236,64,83,164,0.3902439024390244,0.5060975609756098,527
211,43,61,164,0.2621951219512195,0.3719512195121951,410
66,67,92,162,0.41358024691358025,0.5679012345679012,117
163,60,88,162,0.37037037037037035,0.5432098765432098,587
267,39,58,161,0.2422360248447205,0.36024844720496896,346
198,46,75,161,0.2857142857142857,0.4658385093167702,216
178,63,74,160,0.39375,0.4625,265
158,72,86,158,0.45569620253164556,0.5443037974683544,577
542,18,31,154,0.11688311688311688,0.2012987012987013,564
139,65,84,153,0.42483660130718953,0.5490196078431373,33
157,51,83,152,0.3355263157894737,0.5460526315789473,572
417,38,59,152,0.25,0.3881578947368421,419
562,45,66,152,0.29605263157894735,0.4342105263157895,475
357,44,63,151,0.2913907284768212,0.41721854304635764,334
274,50,69,149,0.33557046979865773,0.46308724832214765,7
277,37,53,149,0.2483221476510067,0.35570469798657717,260
419,19,38,149,0.12751677852348994,0.2550335570469799,326
278,56,77,149,0.37583892617449666,0.5167785234899329,287
508,45,67,147,0.30612244897959184,0.4557823129251701,233
535,58,83,147,0.3945578231292517,0.564625850340136,247
208,33,47,147,0.22448979591836735,0.3197278911564626,113
270,47,67,145,0.32413793103448274,0.46206896551724136,100
346,64,84,138,0.463768115942029,0.6086956521739131,137
534,25,42,138,0.18115942028985507,0.30434782608695654,408
351,39,58,138,0.2826086956521739,0.42028985507246375,420
421,21,29,138,0.15217391304347827,0.21014492753623187,351
519,17,42,137,0.12408759124087591,0.30656934306569344,10
318,59,74,137,0.4306569343065693,0.5401459854014599,129
560,28,48,137,0.20437956204379562,0.35036496350364965,47
71,53,74,137,0.38686131386861317,0.5401459854014599,559
340,57,83,136,0.41911764705882354,0.6102941176470589,230
520,46,64,135,0.34074074074074073,0.4740740740740741,424
391,47,66,135,0.34814814814814815,0.4888888888888889,464
539,27,53,135,0.2,0.3925925925925926,210
52,43,68,132,0.32575757575757575,0.5151515151515151,602
173,50,69,132,0.3787878787878788,0.5227272727272727,27
403,37,61,132,0.2803030303030303,0.4621212121212121,15
608,13,28,131,0.09923664122137404,0.21374045801526717,184
449,65,84,130,0.5,0.6461538461538462,376
96,66,87,128,0.515625,0.6796875,524
433,34,47,128,0.265625,0.3671875,377
536,30,49,127,0.23622047244094488,0.3858267716535433,52
142,42,61,126,0.3333333333333333,0.48412698412698413,268
369,50,57,126,0.3968253968253968,0.4523809523809524,369
296,65,86,125,0.52,0.688,144
19,60,80,125,0.48,0.64,314
272,39,56,125,0.312,0.448,482
89,46,67,125,0.368,0.536,240
328,42,66,124,0.3387096774193548,0.532258064516129,254
54,46,63,124,0.3709677419354839,0.5080645161290323,109
28,46,61,124,0.3709677419354839,0.49193548387096775,411
185,43,61,123,0.34959349593495936,0.4959349593495935,409
