,hits@5_count,hits@10_count,precision@5,precision@10,_person_id
60,2,4,0.4,0.4,321
61,2,3,0.4,0.3,530
62,1,5,0.2,0.5,173
63,4,7,0.8,0.7,94
64,4,8,0.8,0.8,133
65,3,6,0.6,0.6,446
66,4,8,0.8,0.8,117
67,0,0,0.0,0.0,501
68,3,3,0.6,0.3,37
69,2,5,0.4,0.5,81
70,3,5,0.6,0.5,181
71,3,6,0.6,0.6,559
72,4,8,0.8,0.8,6
73,2,5,0.4,0.5,458
74,3,6,0.6,0.6,126
75,2,3,0.4,0.3,565
76,3,7,0.6,0.7,373
77,3,6,0.6,0.6,609
78,3,7,0.6,0.7,379
79,2,5,0.4,0.5,5
80,1,4,0.2,0.4,347
81,3,5,0.6,0.5,121
82,3,7,0.6,0.7,58
83,2,5,0.4,0.5,174
84,3,6,0.6,0.6,340
85,2,5,0.4,0.5,43
86,3,6,0.6,0.6,566
87,3,7,0.6,0.7,470
88,2,4,0.4,0.4,374
89,3,6,0.6,0.6,240
90,1,2,0.2,0.2,569
91,2,5,0.4,0.5,402
92,0,0,0.0,0.0,31
93,0,0,0.0,0.0,544
94,0,0,0.0,0.0,206
95,0,0,0.0,0.0,269
96,2,6,0.4,0.6,524
97,0,0,0.0,0.0,521
98,0,0,0.0,0.0,270
99,0,0,0.0,0.0,214
100,1,1,0.2,0.1,451
101,0,0,0.0,0.0,150
102,1,5,0.2,0.5,302
103,0,1,0.0,0.1,529
104,0,0,0.0,0.0,151
105,4,5,0.8,0.5,589
106,0,1,0.0,0.1,90
107,3,5,0.6,0.5,32
108,0,1,0.0,0.1,456
109,4,7,0.8,0.7,84
110,0,1,0.0,0.1,389
111,1,3,0.2,0.3,276
112,3,6,0.6,0.6,437
113,0,1,0.0,0.1,120
114,1,3,0.2,0.3,337
115,0,1,0.0,0.1,277
116,0,1,0.0,0.1,492
117,0,2,0.0,0.2,71
118,0,1,0.0,0.1,350
119,3,4,0.6,0.4,171
120,0,1,0.0,0.1,44
121,0,1,0.0,0.1,364
122,4,8,0.8,0.8,372
123,5,10,1.0,1.0,304
124,0,0,0.0,0.0,481
125,0,0,0.0,0.0,360
126,0,1,0.0,0.1,85
127,0,0,0.0,0.0,163
128,1,3,0.2,0.3,128
129,0,1,0.0,0.1,297
130,3,6,0.6,0.6,11
131,2,3,0.4,0.3,283
132,0,3,0.0,0.3,149
133,1,2,0.2,0.2,467
134,1,1,0.2,0.1,575
135,0,0,0.0,0.0,595
136,1,1,0.2,0.1,535
137,2,2,0.4,0.2,412
138,3,6,0.6,0.6,201
139,5,8,1.0,0.8,33
140,5,6,1.0,0.6,156
141,0,0,0.0,0.0,315
142,2,3,0.4,0.3,268
143,1,5,0.2,0.5,597
144,5,7,1.0,0.7,199
145,5,7,1.0,0.7,263
146,1,3,0.2,0.3,208
147,0,0,0.0,0.0,547
148,3,7,0.6,0.7,93
149,5,8,1.0,0.8,140
150,0,0,0.0,0.0,236
151,0,0,0.0,0.0,383
152,3,7,0.6,0.7,266
153,2,3,0.4,0.3,554
154,1,2,0.2,0.2,118
155,3,7,0.6,0.7,115
156,3,4,0.6,0.4,4
157,3,5,0.6,0.5,572
158,3,7,0.6,0.7,577
159,4,5,0.8,0.5,197
160,0,0,0.0,0.0,225
161,4,8,0.8,0.8,45
162,0,0,0.0,0.0,245
163,3,3,0.6,0.3,587
164,2,7,0.4,0.7,59
165,4,7,0.8,0.7,603
166,3,7,0.6,0.7,217
167,1,4,0.2,0.4,579
168,2,5,0.4,0.5,267
169,3,4,0.6,0.4,465
170,5,10,1.0,1.0,414
171,0,1,0.0,0.1,155
172,1,1,0.2,0.1,188
173,1,3,0.2,0.3,27
174,2,2,0.4,0.2,430
175,4,9,0.8,0.9,607
176,2,7,0.4,0.7,96
177,4,8,0.8,0.8,1
178,3,7,0.6,0.7,265
179,4,9,0.8,0.9,469
180,0,0,0.0,0.0,333
181,2,5,0.4,0.5,19
182,4,9,0.8,0.9,57
183,2,3,0.4,0.3,294
184,0,0,0.0,0.0,571
185,3,3,0.6,0.3,409
186,0,0,0.0,0.0,101
187,2,3,0.4,0.3,591
188,4,9,0.8,0.9,160
189,4,9,0.8,0.9,368
190,2,4,0.4,0.4,224
191,5,10,1.0,1.0,453
192,0,2,0.0,0.2,546
193,5,9,1.0,0.9,292
194,0,0,0.0,0.0,299
195,5,10,1.0,1.0,474
196,0,3,0.0,0.3,450
197,3,6,0.6,0.6,195
