,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
5,6,7,62,0.0967741935483871,0.11290322580645161,6
49,2,5,62,0.03225806451612903,0.08064516129032258,50
452,2,2,62,0.03225806451612903,0.03225806451612903,453
424,6,9,61,0.09836065573770492,0.14754098360655737,425
427,4,7,60,0.06666666666666667,0.11666666666666667,428
572,13,20,59,0.22033898305084745,0.3389830508474576,573
121,5,7,58,0.08620689655172414,0.1206896551724138,122
83,3,5,58,0.05172413793103448,0.08620689655172414,84
381,12,21,58,0.20689655172413793,0.3620689655172414,382
351,11,15,58,0.1896551724137931,0.25862068965517243,352
355,7,10,57,0.12280701754385964,0.17543859649122806,356
238,7,11,55,0.12727272727272726,0.2,239
483,3,7,55,0.05454545454545454,0.12727272727272726,484
134,1,4,55,0.01818181818181818,0.07272727272727272,135
364,4,9,55,0.07272727272727272,0.16363636363636364,365
103,6,8,54,0.1111111111111111,0.14814814814814814,104
62,2,5,54,0.037037037037037035,0.09259259259259259,63
324,3,7,54,0.05555555555555555,0.12962962962962962,325
168,3,4,53,0.05660377358490566,0.07547169811320754,169
289,2,4,53,0.03773584905660377,0.07547169811320754,290
331,6,9,53,0.11320754716981132,0.16981132075471697,332
494,3,8,53,0.05660377358490566,0.1509433962264151,495
431,10,14,52,0.19230769230769232,0.2692307692307692,432
186,4,6,51,0.0784313725490196,0.11764705882352941,187
327,1,5,51,0.0196078431372549,0.09803921568627451,328
221,8,11,50,0.16,0.22,222
329,4,9,49,0.08163265306122448,0.1836734693877551,330
211,11,13,49,0.22448979591836735,0.2653061224489796,212
19,3,6,48,0.0625,0.125,20
281,3,7,47,0.06382978723404255,0.14893617021276595,282
371,3,4,47,0.06382978723404255,0.0851063829787234,372
433,5,9,46,0.10869565217391304,0.1956521739130435,434
561,3,4,46,0.06521739130434782,0.08695652173913043,562
197,4,6,46,0.08695652173913043,0.13043478260869565,198
0,4,6,46,0.08695652173913043,0.13043478260869565,1
593,6,6,46,0.13043478260869565,0.13043478260869565,594
353,4,9,45,0.08888888888888889,0.2,354
81,8,12,45,0.17777777777777778,0.26666666666666666,82
185,8,11,45,0.17777777777777778,0.24444444444444444,186
604,16,19,44,0.36363636363636365,0.4318181818181818,605
311,2,3,44,0.045454545454545456,0.06818181818181818,312
303,5,7,43,0.11627906976744186,0.16279069767441862,304
3,3,6,43,0.06976744186046512,0.13953488372093023,4
118,6,13,43,0.13953488372093023,0.3023255813953488,119
40,9,13,43,0.20930232558139536,0.3023255813953488,41
562,4,9,42,0.09523809523809523,0.21428571428571427,563
72,9,15,42,0.21428571428571427,0.35714285714285715,73
262,3,6,42,0.07142857142857142,0.14285714285714285,263
585,6,9,41,0.14634146341463414,0.21951219512195122,586
219,7,7,41,0.17073170731707318,0.17073170731707318,220
384,0,1,40,0.0,0.025,385
245,5,6,40,0.125,0.15,246
233,10,18,40,0.25,0.45,234
451,5,9,40,0.125,0.225,452
521,14,16,40,0.35,0.4,522
279,1,4,39,0.02564102564102564,0.10256410256410256,280
165,8,11,38,0.21052631578947367,0.2894736842105263,166
138,5,13,38,0.13157894736842105,0.34210526315789475,139
569,6,10,38,0.15789473684210525,0.2631578947368421,570
316,6,10,37,0.16216216216216217,0.2702702702702703,317
551,4,5,37,0.10810810810810811,0.13513513513513514,552
519,4,7,37,0.10810810810810811,0.1891891891891892,520
366,2,4,37,0.05405405405405406,0.10810810810810811,367
194,0,3,37,0.0,0.08108108108108109,195
606,3,6,37,0.08108108108108109,0.16216216216216217,607
478,4,4,36,0.1111111111111111,0.1111111111111111,479
265,6,10,36,0.16666666666666666,0.2777777777777778,266
278,6,7,35,0.17142857142857143,0.2,279
73,3,5,35,0.08571428571428572,0.14285714285714285,74
152,0,1,35,0.0,0.02857142857142857,153
166,4,4,34,0.11764705882352941,0.11764705882352941,167
255,2,6,34,0.058823529411764705,0.17647058823529413,256
116,5,5,33,0.15151515151515152,0.15151515151515152,117
140,2,6,33,0.06060606060606061,0.18181818181818182,141
330,4,8,33,0.12121212121212122,0.24242424242424243,331
586,3,3,33,0.09090909090909091,0.09090909090909091,587
526,9,13,33,0.2727272727272727,0.3939393939393939,527
79,12,16,33,0.36363636363636365,0.48484848484848486,80
94,2,4,33,0.06060606060606061,0.12121212121212122,95
409,1,3,33,0.030303030303030304,0.09090909090909091,410
576,0,0,32,0.0,0.0,577
215,8,10,32,0.25,0.3125,216
345,2,3,32,0.0625,0.09375,346
264,1,3,32,0.03125,0.09375,265
418,3,7,31,0.0967741935483871,0.22580645161290322,419
563,6,7,31,0.1935483870967742,0.22580645161290322,564
571,2,5,31,0.06451612903225806,0.16129032258064516,572
32,0,0,31,0.0,0.0,33
474,13,16,31,0.41935483870967744,0.5161290322580645,475
6,4,7,30,0.13333333333333333,0.23333333333333334,7
232,3,7,30,0.1,0.23333333333333334,233
246,4,6,30,0.13333333333333333,0.2,247
259,3,4,30,0.1,0.13333333333333333,260
286,1,2,30,0.03333333333333333,0.06666666666666667,287
333,3,7,30,0.1,0.23333333333333334,334
112,1,2,30,0.03333333333333333,0.06666666666666667,113
325,6,10,30,0.2,0.3333333333333333,326
99,0,1,29,0.0,0.034482758620689655,100
136,1,2,28,0.03571428571428571,0.07142857142857142,137
407,6,9,28,0.21428571428571427,0.32142857142857145,408
419,3,4,28,0.10714285714285714,0.14285714285714285,420
558,0,2,28,0.0,0.07142857142857142,559
128,1,3,28,0.03571428571428571,0.10714285714285714,129
350,2,2,28,0.07142857142857142,0.07142857142857142,351
9,5,6,28,0.17857142857142858,0.21428571428571427,10
46,5,8,28,0.17857142857142858,0.2857142857142857,47
14,1,5,27,0.037037037037037035,0.18518518518518517,15
601,3,4,27,0.1111111111111111,0.14814814814814814,602
229,4,7,27,0.14814814814814814,0.25925925925925924,230
209,8,8,27,0.2962962962962963,0.2962962962962963,210
26,2,4,27,0.07407407407407407,0.14814814814814814,27
463,8,12,27,0.2962962962962963,0.4444444444444444,464
423,5,9,27,0.18518518518518517,0.3333333333333333,424
375,3,6,26,0.11538461538461539,0.23076923076923078,376
523,4,8,26,0.15384615384615385,0.3076923076923077,524
376,4,5,26,0.15384615384615385,0.19230769230769232,377
183,4,7,26,0.15384615384615385,0.2692307692307692,184
51,4,8,26,0.15384615384615385,0.3076923076923077,52
108,1,3,25,0.04,0.12,109
410,3,4,25,0.12,0.16,411
481,0,2,25,0.0,0.08,482
408,2,4,25,0.08,0.16,409
239,1,1,25,0.04,0.04,240
267,4,6,25,0.16,0.24,268
253,5,5,25,0.2,0.2,254
368,1,2,25,0.04,0.08,369
313,0,1,25,0.0,0.04,314
143,3,3,25,0.12,0.12,144
22,6,7,24,0.25,0.2916666666666667,23
436,1,1,24,0.041666666666666664,0.041666666666666664,437
491,2,4,24,0.08333333333333333,0.16666666666666666,492
404,1,2,24,0.041666666666666664,0.08333333333333333,405
550,6,8,24,0.25,0.3333333333333333,551
392,9,12,24,0.375,0.5,393
464,2,2,23,0.08695652173913043,0.08695652173913043,465
82,1,2,23,0.043478260869565216,0.08695652173913043,83
75,1,1,23,0.043478260869565216,0.043478260869565216,76
180,0,2,23,0.0,0.08695652173913043,181
21,1,3,23,0.043478260869565216,0.13043478260869565,22
307,1,3,23,0.043478260869565216,0.13043478260869565,308
465,1,9,22,0.045454545454545456,0.4090909090909091,466
