,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
221,19,24,136,0.13970588235294118,0.17647058823529413,230
322,8,14,136,0.058823529411764705,0.10294117647058823,462
212,50,79,135,0.37037037037037035,0.5851851851851851,210
32,6,7,132,0.045454545454545456,0.05303030303030303,597
393,5,11,132,0.03787878787878788,0.08333333333333333,15
237,20,30,132,0.15151515151515152,0.22727272727272727,27
128,31,43,131,0.2366412213740458,0.3282442748091603,184
321,18,34,130,0.13846153846153847,0.26153846153846155,580
187,32,46,127,0.25196850393700787,0.36220472440944884,52
179,6,12,126,0.047619047619047616,0.09523809523809523,268
34,7,9,125,0.056,0.072,144
291,3,8,125,0.024,0.064,240
148,8,18,124,0.06451612903225806,0.14516129032258066,109
302,9,18,124,0.07258064516129033,0.14516129032258066,254
182,12,19,123,0.0975609756097561,0.15447154471544716,596
494,10,20,120,0.08333333333333333,0.16666666666666666,517
177,4,8,119,0.03361344537815126,0.06722689075630252,514
154,9,10,118,0.07627118644067797,0.0847457627118644,23
286,9,13,116,0.07758620689655173,0.11206896551724138,22
117,13,20,116,0.11206896551724138,0.1724137931034483,76
344,14,20,115,0.12173913043478261,0.17391304347826086,567
181,1,13,115,0.008695652173913044,0.11304347826086956,83
222,3,4,115,0.02608695652173913,0.034782608695652174,391
410,9,17,115,0.0782608695652174,0.14782608695652175,181
129,6,11,114,0.05263157894736842,0.09649122807017543,357
360,5,11,111,0.04504504504504504,0.0990990990990991,43
273,7,16,111,0.06306306306306306,0.14414414414414414,301
266,13,19,111,0.11711711711711711,0.17117117117117117,339
425,3,10,109,0.027522935779816515,0.09174311926605505,58
311,5,7,109,0.045871559633027525,0.06422018348623854,115
151,5,11,108,0.046296296296296294,0.10185185185185185,136
167,7,12,107,0.06542056074766354,0.11214953271028037,201
56,12,16,107,0.11214953271028037,0.14953271028037382,24
300,8,9,104,0.07692307692307693,0.08653846153846154,59
2,12,13,103,0.11650485436893204,0.1262135922330097,286
20,6,13,102,0.058823529411764705,0.12745098039215685,313
143,14,20,102,0.13725490196078433,0.19607843137254902,17
144,5,8,100,0.05,0.08,40
257,11,18,99,0.1111111111111111,0.18181818181818182,32
475,9,20,97,0.09278350515463918,0.20618556701030927,39
278,5,9,95,0.05263157894736842,0.09473684210526316,16
76,11,19,95,0.11578947368421053,0.2,215
141,4,9,94,0.0425531914893617,0.09574468085106383,93
457,10,12,94,0.10638297872340426,0.1276595744680851,159
63,3,12,93,0.03225806451612903,0.12903225806451613,453
265,13,15,91,0.14285714285714285,0.16483516483516483,227
36,1,7,91,0.01098901098901099,0.07692307692307693,168
106,13,19,91,0.14285714285714285,0.2087912087912088,425
38,2,10,90,0.022222222222222223,0.1111111111111111,244
183,11,16,90,0.12222222222222222,0.17777777777777778,428
156,15,23,89,0.16853932584269662,0.25842696629213485,573
350,13,18,89,0.14606741573033707,0.20224719101123595,98
196,12,19,88,0.13636363636363635,0.2159090909090909,352
347,23,31,87,0.26436781609195403,0.3563218390804598,382
96,6,9,86,0.06976744186046512,0.10465116279069768,356
133,15,23,86,0.1744186046511628,0.26744186046511625,211
318,10,13,85,0.11764705882352941,0.15294117647058825,284
48,4,10,84,0.047619047619047616,0.11904761904761904,116
368,12,16,83,0.14457831325301204,0.1927710843373494,365
361,9,14,83,0.10843373493975904,0.1686746987951807,34
115,11,16,82,0.13414634146341464,0.1951219512195122,191
445,4,14,82,0.04878048780487805,0.17073170731707318,484
234,6,11,81,0.07407407407407407,0.13580246913580246,325
319,8,12,81,0.09876543209876543,0.14814814814814814,213
239,1,2,80,0.0125,0.025,204
72,6,13,80,0.075,0.1625,332
346,7,12,79,0.08860759493670886,0.1518987341772152,171
176,2,10,79,0.02531645569620253,0.12658227848101267,495
31,9,13,78,0.11538461538461539,0.16666666666666666,29
78,11,17,78,0.14102564102564102,0.21794871794871795,432
261,9,15,76,0.11842105263157894,0.19736842105263158,328
62,12,16,75,0.16,0.21333333333333335,96
122,0,5,75,0.0,0.06666666666666667,38
53,2,6,74,0.02702702702702703,0.08108108108108109,330
379,3,5,74,0.04054054054054054,0.06756756756756757,178
226,12,15,73,0.1643835616438356,0.2054794520547945,108
